DT_1,PRECIP,DT_3,MAX_TEMP,MIN_TEMP,SO_RAD,W_VEL,W_DIR,DP_TEMP,STATION,LAT,LON,ELEV
2000-1-1 04:00:00,0,2000-1-1 00:00:00,30,20,200,1,0,15,AH537_1MIN_UP,,,
2000-1-1 04:01:00,0.0025,2000-1-2 00:00:00,30,20,200,1,0,15,,,,
2000-1-1 04:02:00,0.0025,,,,,,,,,,,
2000-1-1 04:03:00,0.0025,,,,,,,,,,,
2000-1-1 04:04:00,0.0025,,,,,,,,,,,
2000-1-1 04:05:00,0.0025,,,,,,,,,,,
2000-1-1 04:06:00,0.0025,,,,,,,,,,,
2000-1-1 04:07:00,0.0025,,,,,,,,,,,
2000-1-1 04:08:00,0.0025,,,,,,,,,,,
2000-1-1 04:09:00,0.0025,,,,,,,,,,,
2000-1-1 04:10:00,0.0025,,,,,,,,,,,
2000-1-1 04:11:00,0.0025,,,,,,,,,,,
2000-1-1 04:12:00,0.0025,,,,,,,,,,,
2000-1-1 04:13:00,0.0025,,,,,,,,,,,
2000-1-1 04:14:00,0.0025,,,,,,,,,,,
2000-1-1 04:15:00,0.0025,,,,,,,,,,,
2000-1-1 04:16:00,0.0025,,,,,,,,,,,
2000-1-1 04:17:00,0.0025,,,,,,,,,,,
2000-1-1 04:18:00,0.0025,,,,,,,,,,,
2000-1-1 04:19:00,0.0025,,,,,,,,,,,
2000-1-1 04:20:00,0.0025,,,,,,,,,,,
2000-1-1 04:21:00,0.01,,,,,,,,,,,
2000-1-1 04:22:00,0.01,,,,,,,,,,,
2000-1-1 04:23:00,0.01,,,,,,,,,,,
2000-1-1 04:24:00,0.01,,,,,,,,,,,
2000-1-1 04:25:00,0.01,,,,,,,,,,,
2000-1-1 04:26:00,0.01,,,,,,,,,,,
2000-1-1 04:27:00,0.01,,,,,,,,,,,
2000-1-1 04:28:00,0.025555556,,,,,,,,,,,
2000-1-1 04:29:00,0.025555556,,,,,,,,,,,
2000-1-1 04:30:00,0.025555556,,,,,,,,,,,
2000-1-1 04:31:00,0.025555556,,,,,,,,,,,
2000-1-1 04:32:00,0.025555556,,,,,,,,,,,
2000-1-1 04:33:00,0.025555556,,,,,,,,,,,
2000-1-1 04:34:00,0.025555556,,,,,,,,,,,
2000-1-1 04:35:00,0.025555556,,,,,,,,,,,
2000-1-1 04:36:00,0.025555556,,,,,,,,,,,
2000-1-1 04:37:00,0.05,,,,,,,,,,,
2000-1-1 04:38:00,0.05,,,,,,,,,,,
2000-1-1 04:39:00,0.05,,,,,,,,,,,
2000-1-1 04:40:00,0.05,,,,,,,,,,,
2000-1-1 04:41:00,0.05,,,,,,,,,,,
2000-1-1 04:42:00,0.05,,,,,,,,,,,
2000-1-1 04:43:00,0.05,,,,,,,,,,,
2000-1-1 04:44:00,0.05,,,,,,,,,,,
2000-1-1 04:45:00,0.05,,,,,,,,,,,
2000-1-1 04:46:00,0.05,,,,,,,,,,,
2000-1-1 04:47:00,0.05,,,,,,,,,,,
2000-1-1 04:48:00,0.05,,,,,,,,,,,
2000-1-1 04:49:00,0.05,,,,,,,,,,,
2000-1-1 04:50:00,0.05,,,,,,,,,,,
2000-1-1 04:51:00,0.021428571,,,,,,,,,,,
2000-1-1 04:52:00,0.021428571,,,,,,,,,,,
2000-1-1 04:53:00,0.021428571,,,,,,,,,,,
2000-1-1 04:54:00,0.021428571,,,,,,,,,,,
2000-1-1 04:55:00,0.021428571,,,,,,,,,,,
2000-1-1 04:56:00,0.021428571,,,,,,,,,,,
2000-1-1 04:57:00,0.021428571,,,,,,,,,,,
2000-1-1 04:58:00,0.00625,,,,,,,,,,,
2000-1-1 04:59:00,0.00625,,,,,,,,,,,
2000-1-1 05:00:00,0.00625,,,,,,,,,,,
2000-1-1 05:01:00,0.00625,,,,,,,,,,,
2000-1-1 05:02:00,0.00625,,,,,,,,,,,
2000-1-1 05:03:00,0.00625,,,,,,,,,,,
2000-1-1 05:04:00,0.00625,,,,,,,,,,,
2000-1-1 05:05:00,0.00625,,,,,,,,,,,
2000-1-1 05:06:00,0,,,,,,,,,,,
2000-1-1 05:07:00,0,,,,,,,,,,,
2000-1-1 05:08:00,0,,,,,,,,,,,
2000-1-1 05:09:00,0,,,,,,,,,,,
2000-1-1 05:10:00,0,,,,,,,,,,,
2000-1-1 05:11:00,0,,,,,,,,,,,
2000-1-1 05:12:00,0,,,,,,,,,,,
2000-1-1 05:13:00,0,,,,,,,,,,,
2000-1-1 05:14:00,0,,,,,,,,,,,
2000-1-1 05:15:00,0,,,,,,,,,,,
2000-1-1 05:16:00,0.003333333,,,,,,,,,,,
2000-1-1 05:17:00,0.003333333,,,,,,,,,,,
2000-1-1 05:18:00,0.003333333,,,,,,,,,,,
2000-1-1 05:19:00,0.003333333,,,,,,,,,,,
2000-1-1 05:20:00,0.003333333,,,,,,,,,,,
2000-1-1 05:21:00,0.003333333,,,,,,,,,,,
2000-1-1 05:22:00,0.003333333,,,,,,,,,,,
2000-1-1 05:23:00,0.003333333,,,,,,,,,,,
2000-1-1 05:24:00,0.003333333,,,,,,,,,,,
2000-1-1 05:25:00,0.003333333,,,,,,,,,,,
2000-1-1 05:26:00,0.003333333,,,,,,,,,,,
2000-1-1 05:27:00,0.003333333,,,,,,,,,,,
2000-1-1 05:28:00,0.003333333,,,,,,,,,,,
2000-1-1 05:29:00,0.003333333,,,,,,,,,,,
2000-1-1 05:30:00,0.003333333,,,,,,,,,,,
